GEO_ID	REGION	DIVISION	STATEFP	STATENS	STUSPS	NAME	LAT	LON	"LAT,LON"	ID	ADDRESS
42	3	7	48	1779801	TX	Texas	29.076122	-96.989729	"29.076122,-96.989729"	42	"Hwy 77, Yoakum, TX 77995, USA"
43	3	7	48	1779801	TX	Texas	29.080449	-96.347172	"29.080449,-96.347172"	43	"County Road 315, Louise, TX 77455, USA"
44	3	7	48	1779801	TX	Texas	29.080617	-95.704577	"29.080617,-95.704577"	44	"6410-6846 Damon Black Ferry Rd, Sweeny, TX 77480, USA"
45	3	5	12	294478	FL	Florida	28.130693	-82.323276	"28.130693,-82.323276"	45	"10208 Deercliff Dr, Tampa, FL 33647, USA"
46	3	5	12	294478	FL	Florida	28.040826	-81.697079	"28.040826,-81.697079"	46	"137 Rebecca Dr NE, Winter Haven, FL 33881, USA"
47	3	5	12	294478	FL	Florida	27.947009	-81.072365	"27.947009,-81.072365"	47	"Florida's Turnpike, Kenansville, FL 34739, USA"
48	3	5	12	294478	FL	Florida	27.84926	-80.449196	"27.84926,-80.449196"	48	"A1A, Vero Beach, FL 32963, USA"
49	3	7	48	1779801	TX	Texas	29.367138	-103.452603	"29.367138,-103.452603"	49	"Terlingua Ranch Gate 2 Rd, Terlingua, TX 79852, USA"
50	3	7	48	1779801	TX	Texas	29.52682	-100.876239	"29.52682,-100.876239"	50	"Unnamed Rd, Del Rio, TX 78840, USA"
51	3	7	48	1779801	TX	Texas	29.556325	-100.230638	"29.556325,-100.230638"	51	"Unnamed Rd, Brackettville, TX 78832, USA"
52	3	7	48	1779801	TX	Texas	29.58165	-99.584572	"29.58165,-99.584572"	52	"County Road 380, Utopia, TX 78884, USA"
53	3	7	48	1779801	TX	Texas	29.602791	-98.938111	"29.602791,-98.938111"	53	"Scenic Summit Rd, Pipe Creek, TX 78063, USA"
54	3	7	48	1779801	TX	Texas	29.619742	-98.291328	"29.619742,-98.291328"	54	"17349 Bell N Dr, Selma, TX 78154, USA"
55	3	7	48	1779801	TX	Texas	29.632501	-97.644293	"29.632501,-97.644293"	55	"987 Webb Rd, Luling, TX 78648, USA"
56	3	7	48	1779801	TX	Texas	29.641065	-96.997076	"29.641065,-96.997076"	56	"3143 Smith-Marek Rd, Schulenburg, TX 78956, USA"
57	3	7	48	1779801	TX	Texas	29.645432	-96.349749	"29.645432,-96.349749"	57	"Unnamed Rd, Eagle Lake, TX 77434, USA"
58	3	7	48	1779801	TX	Texas	29.645601	-95.702384	"29.645601,-95.702384"	58	"Grand Pkwy, Richmond, TX 77406, USA"
59	3	7	48	1779801	TX	Texas	29.641572	-95.055052	"29.641572,-95.055052"	59	"13031 Bay Area Blvd, Pasadena, TX 77507, USA"
60	3	7	48	1779801	TX	Texas	29.633346	-94.407824	"29.633346,-94.407824"	60	"Unnamed Rd, Anahuac, TX 77514, USA"
61	3	7	22	1629543	LA	Louisiana	29.583508	-92.467476	"29.583508,-92.467476"	61	"Unnamed Rd, Kaplan, LA 70548, USA"
62	3	7	22	1629543	LA	Louisiana	29.55852	-91.821376	"29.55852,-91.821376"	62	"10, LA, USA"
63	3	7	22	1629543	LA	Louisiana	29.529351	-91.175734	"29.529351,-91.175734"	63	"Unnamed Rd, 6, LA, USA"
64	3	7	22	1629543	LA	Louisiana	29.496009	-90.530621	"29.496009,-90.530621"	64	"Pointe Aux Chenes Rd, Montegut, LA 70377, USA"
65	3	7	22	1629543	LA	Louisiana	29.458499	-89.886108	"29.458499,-89.886108"	65	"124 W Bayou Ln, Port Sulphur, LA 70083, USA"
66	3	7	22	1629543	LA	Louisiana	29.416829	-89.242262	"29.416829,-89.242262"	66	"1, LA, USA"
67	3	5	12	294478	FL	Florida	28.68694	-82.223421	"28.68694,-82.223421"	67	"4477-4379 SW 81st St, Bushnell, FL 33513, USA"
68	3	5	12	294478	FL	Florida	28.59625	-81.592814	"28.59625,-81.592814"	68	"1633 N Fullers Cross Rd, Winter Garden, FL 34787, USA"
69	3	5	12	294478	FL	Florida	28.501574	-80.963724	"28.501574,-80.963724"	69	"Florida Trail, Christmas, FL 32709, USA"
70	3	7	48	1779801	TX	Texas	29.879795	-104.155029	"29.879795,-104.155029"	70	"Unnamed Rd, Marfa, TX 79843, USA"
71	3	7	48	1779801	TX	Texas	29.930552	-103.508068	"29.930552,-103.508068"	71	"Unnamed Rd, TX, USA"
72	3	7	48	1779801	TX	Texas	29.977131	-102.860278	"29.977131,-102.860278"	72	"Unnamed Rd, TX, USA"
73	3	7	48	1779801	TX	Texas	30.01952	-102.211728	"30.01952,-102.211728"	73	"Unnamed Rd, Sanderson, TX 79848, USA"
74	3	7	48	1779801	TX	Texas	30.057713	-101.562489	"30.057713,-101.562489"	74	"Unnamed Rd, Langtry, TX 78871, USA"
75	3	7	48	1779801	TX	Texas	30.091701	-100.912633	"30.091701,-100.912633"	75	"Unnamed Rd, Sonora, TX 76950, USA"
76	3	7	48	1779801	TX	Texas	30.121477	-100.262229	"30.121477,-100.262229"	76	"Unnamed Rd, Rocksprings, TX 78880, USA"
77	3	7	48	1779801	TX	Texas	30.147035	-99.61135	"30.147035,-99.61135"	77	"Corry Sue Trail NW, Mountain Home, TX 78058, USA"
78	3	7	48	1779801	TX	Texas	30.16837	-98.960069	"30.16837,-98.960069"	78	"Unnamed Rd, Fredericksburg, TX 78624, USA"
79	3	7	48	1779801	TX	Texas	30.185477	-98.308457	"30.185477,-98.308457"	79	"Clear Rock Ranch Rd, Blanco, TX 78606, USA"
80	3	7	48	1779801	TX	Texas	30.198354	-97.656588	"30.198354,-97.656588"	80	"New Airport Dr, Austin-Bergstrom International Airport (AUS), Austin, TX 78719, USA"
81	3	7	48	1779801	TX	Texas	30.206996	-97.004533	"30.206996,-97.004533"	81	"1704 Cr 105, Giddings, TX 78942, USA"
82	3	7	48	1779801	TX	Texas	30.211403	-96.352365	"30.211403,-96.352365"	82	"2075 Rau Rd, Brenham, TX 77833, USA"
83	3	7	48	1779801	TX	Texas	30.211574	-95.700159	"30.211574,-95.700159"	83	"30900-31126 Green Tree Ln, Pinehurst, TX 77362, USA"
84	3	7	48	1779801	TX	Texas	30.207508	-95.047985	"30.207508,-95.047985"	84	"County Road 3470 N, Cleveland, TX 77327, USA"
85	3	7	48	1779801	TX	Texas	30.199206	-94.395919	"30.199206,-94.395919"	85	"Hob Warren Rd, Sour Lake, TX 77659, USA"
86	3	7	48	1779801	TX	Texas	30.186671	-93.744031	"30.186671,-93.744031"	86	"5318 Old Peveto Rd, Orange, TX 77632, USA"
87	3	7	22	1629543	LA	Louisiana	30.169904	-93.092396	"30.169904,-93.092396"	87	"5379-5589 Manchester Rd, Iowa, LA 70647, USA"
88	3	7	22	1629543	LA	Louisiana	30.14891	-92.441085	"30.14891,-92.441085"	88	"2837-2839 Roy Rd, Crowley, LA 70526, USA"
89	3	7	22	1629543	LA	Louisiana	30.123692	-91.790172	"30.123692,-91.790172"	89	"1152 Martin Dautreuil Rd, St Martinville, LA 70582, USA"
90	3	7	22	1629543	LA	Louisiana	30.094255	-91.139727	"30.094255,-91.139727"	90	"37807-38857 State Highway 69, White Castle, LA 70788, USA"
91	3	7	22	1629543	LA	Louisiana	30.060606	-90.489824	"30.060606,-90.489824"	91	"334-498 W 2nd St, LaPlace, LA 70068, USA"
92	3	7	22	1629543	LA	Louisiana	30.022752	-89.840532	"30.022752,-89.840532"	92	"1680 Chef Menteur Hwy, New Orleans, LA 70129, USA"
93	3	7	22	1629543	LA	Louisiana	29.9807	-89.191924	"29.9807,-89.191924"	93	"E, LA, USA"
94	3	5	12	294478	FL	Florida	29.640772	-85.318542	"29.640772,-85.318542"	94	"134 Cape Dunes Dr, Port St Joe, FL 32456, USA"
95	3	5	12	294478	FL	Florida	29.331602	-82.758673	"29.331602,-82.758673"	95	"State Highway 24, Chiefland, FL 32626, USA"
96	3	5	12	294478	FL	Florida	29.244125	-82.122109	"29.244125,-82.122109"	96	"5520 NE 13th Ave, Ocala, FL 34479, USA"
97	3	5	12	294478	FL	Florida	29.152607	-81.487033	"29.152607,-81.487033"	97	"1170 Mandy Ln, Astor, FL 32102, USA"
98	3	5	12	294478	FL	Florida	29.057067	-80.853506	"29.057067,-80.853506"	98	"565 N Atlantic Ave, New Smyrna Beach, FL 32169, USA"
99	3	7	48	1779801	TX	Texas	30.443672	-104.216119	"30.443672,-104.216119"	99	"Unnamed Rd, TX, USA"
100	3	7	48	1779801	TX	Texas	30.494894	-103.564363	"30.494894,-103.564363"	100	"Unnamed Rd, TX, USA"
101	3	7	48	1779801	TX	Texas	30.541898	-102.911758	"30.541898,-102.911758"	101	"U.S. 385, Fort Stockton, TX 79735, USA"
102	3	7	48	1779801	TX	Texas	30.584676	-102.258377	"30.584676,-102.258377"	102	"Unnamed Rd, TX, USA"
103	3	7	48	1779801	TX	Texas	30.623219	-101.604291	"30.623219,-101.604291"	103	"Hoover Divide Rd, Sheffield, TX 79781, USA"
104	3	7	48	1779801	TX	Texas	30.657518	-100.949572	"30.657518,-100.949572"	104	"Interstate 10, Sonora, TX 76950, USA"
105	3	7	48	1779801	TX	Texas	30.687567	-100.294295	"30.687567,-100.294295"	105	"Unnamed Rd, Sonora, TX 76950, USA"
106	3	7	48	1779801	TX	Texas	30.713359	-99.638532	"30.713359,-99.638532"	106	"Unnamed Rd, Menard, TX 76859, USA"
107	3	7	48	1779801	TX	Texas	30.73489	-98.982357	"30.73489,-98.982357"	107	"Austin St, Art, TX 76820, USA"
108	3	7	48	1779801	TX	Texas	30.752154	-98.325844	"30.752154,-98.325844"	108	"812 Deer Springs Dr, Burnet, TX 78611, USA"
109	3	7	48	1779801	TX	Texas	30.765148	-97.669068	"30.765148,-97.669068"	109	"2701 County Road 234, Georgetown, TX 78633, USA"
110	3	7	48	1779801	TX	Texas	30.77387	-97.012102	"30.77387,-97.012102"	110	"Unnamed Rd, Cameron, TX 76520, USA"
111	3	7	48	1779801	TX	Texas	30.778317	-96.35502	"30.778317,-96.35502"	111	"6025-7201 Bar P Ranch Rd, Bryan, TX 77808, USA"
112	3	7	48	1779801	TX	Texas	30.77849	-95.697899	"30.77849,-95.697899"	112	"2251 Hwy 75 N, Huntsville, TX 77320, USA"
113	3	7	48	1779801	TX	Texas	30.774386	-95.040812	"30.774386,-95.040812"	113	"245 Alabama Point, Livingston, TX 77351, USA"
114	3	7	48	1779801	TX	Texas	30.766009	-94.383834	"30.766009,-94.383834"	114	"County Road 4300, Woodville, TX 75979, USA"
115	3	7	48	1779801	TX	Texas	30.753359	-93.727039	"30.753359,-93.727039"	115	"County Road 4025, Newton, TX 75966, USA"
116	3	7	22	1629543	LA	Louisiana	30.736438	-93.070502	"30.736438,-93.070502"	116	"283-299 Henry Burnett Loop, DeRidder, LA 70634, USA"
117	3	7	22	1629543	LA	Louisiana	30.715251	-92.414297	"30.715251,-92.414297"	117	"1416-1418 Red Fox Ln, Ville Platte, LA 70586, USA"
118	3	7	22	1629543	LA	Louisiana	30.689802	-91.758498	"30.689802,-91.758498"	118	"Par Road 4229, Melville, LA 71353, USA"
119	3	7	22	1629543	LA	Louisiana	30.660096	-91.103179	"30.660096,-91.103179"	119	"6676-6698 Lakeridge Dr, Zachary, LA 70791, USA"
120	3	7	22	1629543	LA	Louisiana	30.626138	-90.448414	"30.626138,-90.448414"	120	"223-295 S Bennett Rd, Independence, LA 70443, USA"
121	3	6	28	1779790	MS	Mississippi	30.587937	-89.794274	"30.587937,-89.794274"	121	"2-98 Island Rd, Picayune, MS 39466, USA"
122	3	6	28	1779790	MS	Mississippi	30.5455	-89.140833	"30.5455,-89.140833"	122	"18055 Carson Ct, Saucier, MS 39574, USA"
123	3	6	28	1779790	MS	Mississippi	30.498835	-88.488163	"30.498835,-88.488163"	123	"7302 Greenfields Rd, Moss Point, MS 39562, USA"
124	3	6	1	1779775	AL	Alabama	30.447953	-87.836336	"30.447953,-87.836336"	124	"10956 Wilda Ct, Fairhope, AL 36532, USA"
125	3	5	12	294478	FL	Florida	30.392863	-87.185422	"30.392863,-87.185422"	125	"Gulf Breeze Pkwy, Gulf Breeze, FL 32561, USA"
126	3	5	12	294478	FL	Florida	30.270106	-85.886616	"30.270106,-85.886616"	126	"Unnamed Rd, Panama City Beach, FL 32413, USA"
127	3	5	12	294478	FL	Florida	30.202465	-85.238863	"30.202465,-85.238863"	127	"CCC Road No 7, Wewahitchka, FL 32465, USA"
128	3	5	12	294478	FL	Florida	30.130666	-84.592302	"30.130666,-84.592302"	128	"Forest Road 345, Apalachicola National Forest, Sopchoppy, FL 32358, USA"
129	3	5	12	294478	FL	Florida	30.054724	-83.946999	"30.054724,-83.946999"	129	"Unnamed Rd, LAMONT, FL 32336, USA"
130	3	5	12	294478	FL	Florida	29.974655	-83.303022	"29.974655,-83.303022"	130	"Unnamed Rd, Mayo, FL 32066, USA"
131	3	5	12	294478	FL	Florida	29.890475	-82.660437	"29.890475,-82.660437"	131	"3191 SW County Road 778, Fort White, FL 32038, USA"
132	3	5	12	294478	FL	Florida	29.802201	-82.019308	"29.802201,-82.019308"	132	"6535 Immokalee Rd, Keystone Heights, FL 32656, USA"
133	3	5	12	294478	FL	Florida	29.70985	-81.379701	"29.70985,-81.379701"	133	"Unnamed Rd, Hastings, FL 32145, USA"
134	3	7	48	1779801	TX	Texas	30.952493	-104.933812	"30.952493,-104.933812"	134	"Unnamed Rd, Van Horn, TX 79855, USA"
135	3	7	48	1779801	TX	Texas	31.008427	-104.278129	"31.008427,-104.278129"	135	"Fence Post Rd, TX, USA"
136	3	7	48	1779801	TX	Texas	31.060116	-103.621506	"31.060116,-103.621506"	136	"State Highway 17, Saragosa, TX 79780, USA"
137	3	7	48	1779801	TX	Texas	31.107549	-102.964015	"31.107549,-102.964015"	137	"Unnamed Rd, Fort Stockton, TX 79735, USA"
138	3	7	48	1779801	TX	Texas	31.150718	-102.30573	"31.150718,-102.30573"	138	"Unnamed Rd, TX, USA"
139	3	7	48	1779801	TX	Texas	31.189612	-101.646724	"31.189612,-101.646724"	139	"Golf Course Rd, Big Lake, TX 76932, USA"
140	3	7	48	1779801	TX	Texas	31.224225	-100.987071	"31.224225,-100.987071"	140	"N Dutchwoman Rd, Mertzon, TX 76941, USA"
141	3	7	48	1779801	TX	Texas	31.254548	-100.326847	"31.254548,-100.326847"	141	"Unnamed Rd, San Angelo, TX 76904, USA"
142	3	7	48	1779801	TX	Texas	31.280576	-99.666126	"31.280576,-99.666126"	142	"County Road 4077, Melvin, TX 76858, USA"
143	3	7	48	1779801	TX	Texas	31.302303	-99.004984	"31.302303,-99.004984"	143	"County Road 256, Richland Springs, TX 76871, USA"
144	3	7	48	1779801	TX	Texas	31.319725	-98.343495	"31.319725,-98.343495"	144	"17901 County Road 2200, Lometa, TX 76853, USA"
145	3	7	48	1779801	TX	Texas	31.332838	-97.681737	"31.332838,-97.681737"	145	"E Range Rd, Gatesville, TX 76528, USA"
146	3	7	48	1779801	TX	Texas	31.341639	-97.019785	"31.341639,-97.019785"	146	"County Road 417, Chilton, TX 76632, USA"
147	3	7	48	1779801	TX	Texas	31.346128	-96.357716	"31.346128,-96.357716"	147	"Lcr 735, Thornton, TX 76687, USA"
148	3	7	48	1779801	TX	Texas	31.346301	-95.695605	"31.346301,-95.695605"	148	"Farm to Market 542, Centerville, TX 75833, USA"
149	3	7	48	1779801	TX	Texas	31.342161	-95.03353	"31.342161,-95.03353"	149	"Forest Service Road 503, Davy Crockett National Forest, Kennard, TX 75847, USA"
150	3	7	48	1779801	TX	Texas	31.333706	-94.371566	"31.333706,-94.371566"	150	"County Road 489, Angelina National Forest, Etoile, TX 75944, USA"
151	3	7	48	1779801	TX	Texas	31.320941	-93.709789	"31.320941,-93.709789"	151	"Farm to Market Road 3382, Sabine National Forest, Hemphill, TX 75948, USA"
152	3	7	22	1629543	LA	Louisiana	31.303866	-93.048276	"31.303866,-93.048276"	152	"State Highway 465, Leesville, LA 71446, USA"
153	3	7	22	1629543	LA	Louisiana	31.282485	-92.387103	"31.282485,-92.387103"	153	"Unnamed Rd, Pineville, LA 71360, USA"
154	3	7	22	1629543	LA	Louisiana	31.256803	-91.726345	"31.256803,-91.726345"	154	"Unnamed Rd, Acme, LA 71316, USA"
155	3	6	28	1779790	MS	Mississippi	31.226826	-91.066078	"31.226826,-91.066078"	155	"1284-2098 Stump Rd, Crosby, MS 39633, USA"
156	3	6	28	1779790	MS	Mississippi	31.192558	-90.406377	"31.192558,-90.406377"	156	"3000-3032 E Fernwood Rd, McComb, MS 39648, USA"
157	3	6	28	1779790	MS	Mississippi	31.154008	-89.747316	"31.154008,-89.747316"	157	"209-457 Old Mississippi 13, Columbia, MS 39429, USA"
158	3	6	28	1779790	MS	Mississippi	31.111184	-89.08897	"31.111184,-89.08897"	158	"Red Hill Rd, De Soto National Forest, Brooklyn, MS 39425, USA"
159	3	6	28	1779790	MS	Mississippi	31.064093	-88.431413	"31.064093,-88.431413"	159	"136-530 Harvison Rd, Leakesville, MS 39451, USA"
160	3	6	1	1779775	AL	Alabama	31.012747	-87.774717	"31.012747,-87.774717"	160	"Unnamed Rd, Bay Minette, AL 36507, USA"
161	3	5	12	294478	FL	Florida	30.957155	-87.118955	"30.957155,-87.118955"	161	"5366 County Road 399, Jay, FL 32565, USA"
162	3	5	12	294478	FL	Florida	30.897328	-86.4642	"30.897328,-86.4642"	162	"3706-4006 E Plympton Rd, Laurel Hill, FL 32567, USA"
163	3	5	12	294478	FL	Florida	30.83328	-85.810523	"30.83328,-85.810523"	163	"Tobe Retherford Rd, Bonifay, FL 32425, USA"
164	3	5	12	294478	FL	Florida	30.765023	-85.157993	"30.765023,-85.157993"	164	"5244 Woodgate Way, Marianna, FL 32446, USA"
165	3	5	12	294478	FL	Florida	30.692571	-84.506682	"30.692571,-84.506682"	165	"8916 Salem Rd, Quincy, FL 32352, USA"
166	3	5	12	294478	FL	Florida	30.615938	-83.856658	"30.615938,-83.856658"	166	"Arnold, Monticello, FL 32344, USA"
167	3	5	12	294478	FL	Florida	30.535142	-83.20799	"30.535142,-83.20799"	167	"3734 NW 34th St, Jennings, FL 32053, USA"
168	3	5	12	294478	FL	Florida	30.450197	-82.560744	"30.450197,-82.560744"	168	"Unnamed Rd, FL, USA"
169	3	5	12	294478	FL	Florida	30.361121	-81.914987	"30.361121,-81.914987"	169	"2 Otis Rd, Jacksonville, FL 32234, USA"
170	3	7	48	1779801	TX	Texas	31.456857	-105.661246	"31.456857,-105.661246"	170	"Unnamed Rd, Fort Hancock, TX 79839, USA"
171	3	7	48	1779801	TX	Texas	31.51757	-105.00168	"31.51757,-105.00168"	171	"Unnamed Rd, TX, USA"
172	3	7	48	1779801	TX	Texas	31.574012	-104.341079	"31.574012,-104.341079"	172	"Nevel Rd, TX, USA"
173	3	7	48	1779801	TX	Texas	31.626171	-103.679516	"31.626171,-103.679516"	173	"Unnamed Rd, Pecos, TX 79772, USA"
174	3	7	48	1779801	TX	Texas	31.674035	-103.017066	"31.674035,-103.017066"	174	"Unnamed Rd, TX, USA"
175	3	7	48	1779801	TX	Texas	31.717597	-102.353804	"31.717597,-102.353804"	175	"10576-10586 S Grant Ave, Odessa, TX 79766, USA"
176	3	7	48	1779801	TX	Texas	31.756845	-101.689804	"31.756845,-101.689804"	176	"Unnamed Rd, GARDEN CITY, TX 79739, USA"
177	3	7	48	1779801	TX	Texas	31.791772	-101.025142	"31.791772,-101.025142"	177	"Unnamed Rd, Sterling City, TX 76951, USA"
178	3	7	48	1779801	TX	Texas	31.822372	-100.359896	"31.822372,-100.359896"	178	"Unnamed Rd, Bronte, TX 76933, USA"
179	3	7	48	1779801	TX	Texas	31.848637	-99.694141	"31.848637,-99.694141"	179	"Unnamed Rd, Talpa, TX 76882, USA"
180	3	7	48	1779801	TX	Texas	31.870562	-99.027956	"31.870562,-99.027956"	180	"11030 County Road 454, Brownwood, TX 76801, USA"
181	3	7	48	1779801	TX	Texas	31.888142	-98.361416	"31.888142,-98.361416"	181	"Farm to Market Road 591, Gustine, TX 76455, USA"
182	3	7	48	1779801	TX	Texas	31.901375	-97.694601	"31.901375,-97.694601"	182	"Farm Road 1473, Meridian, TX 76665, USA"
183	3	7	48	1779801	TX	Texas	31.910257	-97.027587	"31.910257,-97.027587"	183	"Farm to Market 1242, Abbott, TX 76621, USA"
184	3	7	48	1779801	TX	Texas	31.914786	-96.360453	"31.914786,-96.360453"	184	"SE 1210 Rd, Richland, TX 76681, USA"
185	3	7	48	1779801	TX	Texas	31.914961	-95.693277	"31.914961,-95.693277"	185	"County Road 450, Palestine, TX 75803, USA"
186	3	7	48	1779801	TX	Texas	31.910783	-95.026136	"31.910783,-95.026136"	186	"County Road 4401, Reklaw, TX 75784, USA"
187	3	7	48	1779801	TX	Texas	31.902251	-94.35911	"31.902251,-94.35911"	187	"Farm to Market 1645, Tenaha, TX 75974, USA"
188	3	7	22	1629543	LA	Louisiana	31.889369	-93.692275	"31.889369,-93.692275"	188	"New Benson Rd, Mansfield, LA 71052, USA"
189	3	7	22	1629543	LA	Louisiana	31.872139	-93.025711	"31.872139,-93.025711"	189	"101-199 Lazy Lagoon Rd, Campti, LA 71411, USA"
190	3	7	22	1629543	LA	Louisiana	31.850563	-92.359494	"31.850563,-92.359494"	190	"Par Road 387, Tullos, LA 71479, USA"
191	3	7	22	1629543	LA	Louisiana	31.824648	-91.693701	"31.824648,-91.693701"	191	"Krause Rd, Sicily Island, LA 71368, USA"
192	3	6	28	1779790	MS	Mississippi	31.794397	-91.028411	"31.794397,-91.028411"	192	"Jessamine Ridge Rd, Lorman, MS 39096, USA"
193	3	6	28	1779790	MS	Mississippi	31.759818	-90.3637	"31.759818,-90.3637"	193	"3001-3099 Stegall Rd, Wesson, MS 39191, USA"
